0,1,2,3,4,5,6,7,8,9,10
0.0,200.0,250.0,200.0,300.0,270.0,350.0,500.0,440.0,370.0,300.0
200.0,0.0,150.0,100.0,200.0,230.0,250.0,400.0,340.0,330.0,400.0
250.0,150.0,0.0,150.0,150.0,280.0,200.0,350.0,390.0,380.0,450.0
200.0,100.0,150.0,0.0,200.0,130.0,250.0,300.0,240.0,230.0,300.0
300.0,200.0,150.0,200.0,0.0,330.0,150.0,300.0,360.0,430.0,500.0
270.0,230.0,280.0,130.0,330.0,0.0,380.0,330.0,270.0,100.0,170.0
350.0,250.0,200.0,250.0,150.0,380.0,0.0,150.0,210.0,380.0,450.0
500.0,400.0,350.0,300.0,300.0,330.0,150.0,0.0,160.0,230.0,300.0
440.0,340.0,390.0,240.0,360.0,270.0,210.0,160.0,0.0,170.0,240.0
370.0,330.0,380.0,230.0,430.0,100.0,380.0,230.0,170.0,0.0,170.0
300.0,400.0,450.0,300.0,500.0,170.0,450.0,300.0,240.0,170.0,0.0
