0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,97.5,195.0,222.5,235.0,270.0,300.0,310.0,345.0,375.0,380.0,420.0,460.0,460.0,420.0,477.5,517.5,517.5
97.5,0.0,97.5,200.0,257.5,252.5,202.5,332.5,327.5,277.5,402.5,442.5,402.5,362.5,322.5,500.0,460.0,420.0
195.0,97.5,0.0,272.5,160.0,195.0,225.0,235.0,270.0,300.0,305.0,345.0,385.0,385.0,345.0,402.5,442.5,442.5
222.5,200.0,272.5,0.0,402.5,247.5,197.5,427.5,322.5,272.5,477.5,437.5,397.5,357.5,317.5,495.0,455.0,415.0
235.0,257.5,160.0,402.5,0.0,155.0,205.0,75.0,230.0,280.0,265.0,305.0,345.0,385.0,425.0,362.5,402.5,442.5
270.0,252.5,195.0,247.5,155.0,0.0,50.0,180.0,195.0,225.0,230.0,270.0,310.0,310.0,270.0,327.5,367.5,367.5
300.0,202.5,225.0,197.5,205.0,50.0,0.0,230.0,225.0,175.0,280.0,320.0,300.0,260.0,220.0,377.5,357.5,317.5
310.0,332.5,235.0,427.5,75.0,180.0,230.0,0.0,185.0,235.0,190.0,230.0,270.0,310.0,350.0,287.5,327.5,367.5
345.0,327.5,270.0,322.5,230.0,195.0,225.0,185.0,0.0,50.0,155.0,195.0,235.0,235.0,195.0,252.5,292.5,292.5
375.0,277.5,300.0,272.5,280.0,225.0,175.0,235.0,50.0,0.0,205.0,245.0,225.0,185.0,145.0,302.5,282.5,242.5
380.0,402.5,305.0,477.5,265.0,230.0,280.0,190.0,155.0,205.0,0.0,130.0,170.0,210.0,250.0,97.5,137.5,177.5
420.0,442.5,345.0,437.5,305.0,270.0,320.0,230.0,195.0,245.0,130.0,0.0,130.0,170.0,210.0,57.5,97.5,137.5
460.0,402.5,385.0,397.5,345.0,310.0,300.0,270.0,235.0,225.0,170.0,130.0,0.0,130.0,170.0,97.5,57.5,97.5
460.0,362.5,385.0,357.5,385.0,310.0,260.0,310.0,235.0,185.0,210.0,170.0,130.0,0.0,130.0,137.5,97.5,57.5
420.0,322.5,345.0,317.5,425.0,270.0,220.0,350.0,195.0,145.0,250.0,210.0,170.0,130.0,0.0,177.5,137.5,97.5
477.5,500.0,402.5,495.0,362.5,327.5,377.5,287.5,252.5,302.5,97.5,57.5,97.5,137.5,177.5,0.0,65.0,105.0
517.5,460.0,442.5,455.0,402.5,367.5,357.5,327.5,292.5,282.5,137.5,97.5,57.5,97.5,137.5,65.0,0.0,65.0
517.5,420.0,442.5,415.0,442.5,367.5,317.5,367.5,292.5,242.5,177.5,137.5,97.5,57.5,97.5,105.0,65.0,0.0
