current_time,cycle_time(sec),Type,ID
4650,4631,C,60
5377,5358,B,30
6769,6750,A,0
7023,6944,C,61
7921,7602,A,1
8194,7815,B,31
8380,7761,A,2
11758,11559,C,63
12058,11378,C,71
12358,12099,C,64
12658,11918,C,72
12838,11919,A,3
12958,12158,C,73
13181,12442,B,32
13258,13119,C,62
13558,12698,C,74
13858,12938,C,75
14158,13178,C,76
14158,13059,B,33
14206,12987,A,4
14458,14139,C,65
14458,11199,B,39
14758,14379,C,66
14758,13299,B,34
15058,14618,C,67
15058,13239,B,35
15358,14858,C,68
15358,13179,B,36
15658,15098,C,69
15958,15338,C,70
16018,14499,A,5
16144,13605,B,37
16258,15218,C,77
16330,14511,A,6
16444,13545,B,38
16558,15458,C,78
16744,13125,B,40
17542,15423,A,7
17716,15297,A,8
18176,17016,C,79
18268,14289,B,41
19114,14774,B,42
20619,16099,A,15
20760,18040,A,9
21027,18007,A,10
21137,16437,B,43
21171,17851,A,11
21318,17698,A,12
21347,21328,D,80
21437,16377,B,44
21516,13396,A,27
21707,20907,D,93
21717,13297,A,28
21737,16317,B,45
22037,16257,B,46
22067,21207,D,94
22337,16197,B,47
22637,16137,B,48
22711,14891,A,26
22771,14051,A,29
22888,18968,A,13
22937,16077,B,49
23008,18788,A,14
23089,18269,A,16
23101,22061,D,97
23188,18068,A,17
23237,16017,B,50
23287,17867,A,18
23392,17672,A,19
23491,17471,A,20
23537,15957,B,51
23587,17267,A,21
23838,15898,B,52
24138,15838,B,53
24194,23094,D,98
24256,17636,A,22
24438,15778,B,54
24451,17531,A,23
24550,17330,A,24
24738,15718,B,55
25038,15658,B,56
25338,15598,B,57
25445,17925,A,25
25631,24711,D,95
25638,15538,B,58
25938,15478,B,59
25991,25011,D,96
26351,26272,D,81
26711,26572,D,82
27071,26872,D,83
27431,27172,D,84
27791,27471,D,85
28151,27651,D,88
28511,28131,D,86
28872,27712,D,99
29232,28792,D,87
29592,29032,D,89
29952,29332,D,90
30312,29632,D,91
